epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.979,0.98392,1.868,1.0218,0.92598,0.63777,0.87231,0.65047,0.81312,2.45055,0.92611,0.000659341,0.000659341,0.000659341
2,629.495,0.95536,1.14263,0.97368,0.983,0.90588,0.9797,0.76193,0.84058,1.08066,0.94419,0.00128225,0.00128225,0.00128225
3,942.058,0.93533,0.90293,0.98201,0.76994,0.84314,0.89307,0.68592,0.85546,1.95432,0.96108,0.00186116,0.00186116,0.00186116
4,1254.88,0.93848,0.77673,0.99565,0.96845,0.96287,0.98825,0.75994,0.82369,0.73298,0.96791,0.001802,0.001802,0.001802
5,1567.18,0.92672,0.71763,0.97935,0.97053,0.9451,0.98722,0.79074,0.76311,0.6912,0.90497,0.001736,0.001736,0.001736
6,1880.37,0.88131,0.66356,0.97716,0.95912,0.98039,0.98385,0.7653,0.75847,0.66829,0.92314,0.00167,0.00167,0.00167
7,2192.01,0.88978,0.60528,0.97502,0.99172,0.93978,0.98842,0.68294,1.03405,0.62338,1.02072,0.001604,0.001604,0.001604
8,2504.94,0.83559,0.58271,0.95035,0.95935,0.99216,0.98921,0.79054,0.72635,0.64609,0.89812,0.001538,0.001538,0.001538
9,2816.98,0.78431,0.53928,0.91934,0.98469,0.98431,0.99416,0.79637,0.76401,0.47989,0.89832,0.001472,0.001472,0.001472
10,3129.34,0.8095,0.53923,0.93138,0.9861,0.98824,0.99457,0.82437,0.69139,0.4761,0.88643,0.001406,0.001406,0.001406
11,3444.66,0.78563,0.52999,0.92566,0.98104,0.98824,0.99449,0.82801,0.68538,0.43607,0.88245,0.00134,0.00134,0.00134
12,3767.39,0.76256,0.50258,0.92251,0.9844,0.98986,0.99468,0.82868,0.66761,0.43133,0.88203,0.001274,0.001274,0.001274
13,4157.03,0.76206,0.4874,0.92183,0.99204,0.97706,0.99426,0.81459,0.69953,0.41563,0.88609,0.001208,0.001208,0.001208
14,4525.09,0.74916,0.48641,0.91758,0.98728,0.99608,0.9948,0.8435,0.6326,0.37765,0.86252,0.001142,0.001142,0.001142
15,4947.39,0.71746,0.45416,0.90574,0.98719,0.99216,0.99453,0.82808,0.6808,0.41957,0.87214,0.001076,0.001076,0.001076
16,5355.15,0.72416,0.45446,0.90225,0.99207,0.98142,0.99462,0.848,0.61064,0.38508,0.8566,0.00101,0.00101,0.00101
17,5800.45,0.70865,0.44583,0.903,0.99604,0.98645,0.99469,0.84838,0.60426,0.36734,0.85749,0.000944,0.000944,0.000944
18,6149.35,0.73865,0.45479,0.91631,0.97692,0.9959,0.99387,0.83213,0.66186,0.37693,0.86448,0.000878,0.000878,0.000878
19,6528.33,0.68217,0.42128,0.89533,0.98759,0.98824,0.99465,0.84983,0.59092,0.36004,0.85292,0.000812,0.000812,0.000812
20,6947.18,0.69499,0.41851,0.8928,0.99131,0.99608,0.99492,0.84014,0.62812,0.34432,0.85475,0.000746,0.000746,0.000746
21,7298.4,0.64727,0.37753,0.87792,0.99217,0.99434,0.995,0.84677,0.62388,0.3577,0.85809,0.00068,0.00068,0.00068
22,7639.69,0.64012,0.38856,0.86763,0.99585,0.99216,0.99496,0.85107,0.60464,0.36309,0.85115,0.000614,0.000614,0.000614
23,7997.64,0.62666,0.37452,0.86511,0.98836,0.9991,0.99484,0.84121,0.59058,0.34648,0.853,0.000548,0.000548,0.000548
24,8357.94,0.61469,0.35499,0.85756,0.98836,0.99853,0.99488,0.8583,0.57548,0.32671,0.84434,0.000482,0.000482,0.000482
25,8700.49,0.59304,0.34205,0.85447,0.98383,1,0.99488,0.8593,0.5747,0.31418,0.84381,0.000416,0.000416,0.000416
26,9090.91,0.58292,0.33715,0.84645,0.99567,1,0.995,0.86133,0.56043,0.31655,0.83802,0.00035,0.00035,0.00035
27,9431.06,0.58557,0.33044,0.84206,0.98637,0.99608,0.99488,0.86155,0.5824,0.31514,0.84837,0.000284,0.000284,0.000284
28,9800.3,0.5746,0.32063,0.84752,0.99158,1,0.99488,0.8692,0.54613,0.2966,0.83735,0.000218,0.000218,0.000218
29,10146.6,0.55589,0.30859,0.84231,0.99161,1,0.995,0.86954,0.54868,0.29016,0.83838,0.000152,0.000152,0.000152
30,10481.1,0.54431,0.2994,0.83854,0.99202,1,0.995,0.87225,0.53524,0.28255,0.83579,8.6e-05,8.6e-05,8.6e-05
